Artist,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Url_youtube,Title
50 Cent,0.545,0.64,10,-3.529,0.308,0.368,0,0.111,0.574,181.733,254493,https://www.youtube.com/watch?v=UQNLDwQYDDg,50 Cent-Best Friend(Remix)
Metallica,0.566,0.834,6,-8.412,0.0298,0.00277,0.008,0.0625,0.621,123.296,331560,https://www.youtube.com/watch?v=CD-E-LDc384,Metallica: Enter Sandman (Official Music Video)
Metallica,0.547,0.394,4,-9.793,0.0262,0.0522,6.40E-06,0.0795,0.17,142.37,388733,https://www.youtube.com/watch?v=tAGnKpE4NCI,Metallica: Nothing Else Matters (Official Music Video)
Metallica,0.539,0.828,4,-9.108,0.035,0.00067,0.421,0.154,0.562,105.25,515387,https://www.youtube.com/watch?v=E0ozmU9cJDg,Master of Puppets (Remastered)
Metallica,0.511,0.972,10,-3.751,0.0413,5.36E-06,0.00101,0.19,0.532,132.97,304893,https://www.youtube.com/watch?v=wsrvmNtWU4E,Metallica - Whiskey In The Jar (Official Music Video)
Metallica,0.531,0.583,7,-9.47,0.0256,0.0184,0.00624,0.255,0.207,139.503,387160,https://www.youtube.com/watch?v=Ckom3gf57Yw,Metallica - The Unforgiven (Official Music Video)
Metallica,0.438,0.687,7,-9.15,0.0619,0.000668,0.0801,0.42,0.426,103.01,446146,https://www.youtube.com/watch?v=oTS5cPTqFWM,Metallica - One (Official Music Video) [Remastered in HD]
Metallica,0.512,0.86,0,-6.145,0.0703,0.00631,0.00528,0.0652,0.258,117.909,309973,https://www.youtube.com/watch?v=B_HSa1dEL9s,For Whom The Bell Tolls (Remastered)
Metallica,0.386,0.996,11,-2.96,0.0754,1.15E-05,0.000836,0.116,0.188,130.573,205680,https://www.youtube.com/watch?v=_u-7rWKnVVo,Metallica: Lux ̠terna (Official Music Video)
Metallica,0.624,0.876,7,-6.005,0.0342,0.000926,0.00164,0.0561,0.453,89.24,324600,https://www.youtube.com/watch?v=A8MO7fkZc5o,Metallica: Sad But True (Official Music Video)
Metallica,0.425,0.972,4,-3.448,0.045,2.42E-05,0.0202,0.239,0.282,101.125,330453,https://www.youtube.com/watch?v=ZDyDpdFZHBo,Metallica: Screaming Suicide (Official Music Video)
Coldplay,0.429,0.661,11,-7.227,0.0281,0.00239,0.000121,0.234,0.285,173.372,266773,https://www.youtube.com/watch?v=yKNxeF4KMsY,Coldplay - Yellow (Official Video)
Coldplay,0.486,0.617,5,-7.115,0.0287,0.0954,3.23E-06,0.109,0.417,138.015,242373,https://www.youtube.com/watch?v=dvgZkm1xWPE,Coldplay - Viva La Vida (Official Video)
